 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.14285714285714285 0.0 0.6666666666666666 0.0 0.10714285714285714 0.03225806451612903 0.0
Left_coh 0.0 0.038461538461538464 0.0 0.10344827586206896 0.0 0.3548387096774194 0.36666666666666664
Right_coh 0.0 0.0 0.3333333333333333 0.0 0.0 0.06451612903225806 0.0
Left_Right 0.8571428571428571 0.19230769230769232 0.0 0.034482758620689655 0.10714285714285714 0.0 0.5
Null 0.0 0.0 0.0 0.3448275862068966 0.03571428571428571 0.4838709677419355 0.03333333333333333
Coherent 0.0 0.5384615384615384 0.0 0.0 0.5 0.03225806451612903 0.06666666666666667
Left 0.0 0.23076923076923078 0.0 0.5172413793103449 0.25 0.03225806451612903 0.03333333333333333
