 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.04 0.0 0.4 0.28125 0.23636363636363636 0.0 0.0
Left_coh 0.0 0.2 0.0 0.0 0.0 0.058823529411764705 0.08
Right_coh 0.08 0.0 0.2 0.0 0.0 0.058823529411764705 0.0
Left_Right 0.6 0.0 0.0 0.03125 0.03636363636363636 0.0 0.56
Null 0.24 0.0 0.0 0.375 0.01818181818181818 0.8235294117647058 0.28
Coherent 0.04 0.4 0.4 0.0 0.509090909090909 0.029411764705882353 0.04
Left 0.0 0.4 0.0 0.3125 0.2 0.029411764705882353 0.04
