 Right Left_coh Right_coh Left_Right Null Coherent Left Mille
Right 0.125 0.0 0.26666666666666666 0.09375 0.0 0.0 0.0 0.0
Left_coh 0.0 0.03225806451612903 0.06666666666666667 0.3125 0.0 0.5151515151515151 0.08695652173913043 0.0
Right_coh 0.125 0.0 0.06666666666666667 0.15625 0.0 0.24242424242424243 0.0 0.0
Left_Right 0.625 0.12903225806451613 0.2 0.03125 0.0 0.0 0.8260869565217391 0.0
Null 0.125 0.03225806451612903 0.0 0.25 0.05555555555555555 0.15151515151515152 0.043478260869565216 0.0
Coherent 0.0 0.3870967741935484 0.4 0.03125 0.7222222222222222 0.030303030303030304 0.0 0.0
Left 0.0 0.41935483870967744 0.0 0.125 0.16666666666666666 0.06060606060606061 0.043478260869565216 0.0
Mille 0.0 0.0 0.0 0.0 0.05555555555555555 0.0 0.0 1.0
