 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.058823529411764705 0.0 0.25 0.2 0.25 0.0 0.0
Left_coh 0.0 0.0625 0.0 0.2 0.0 0.22857142857142856 0.058823529411764705
Right_coh 0.11764705882352941 0.0 0.125 0.0 0.0 0.14285714285714285 0.0
Left_Right 0.6470588235294118 0.1875 0.375 0.03333333333333333 0.0 0.0 0.7058823529411765
Null 0.17647058823529413 0.0 0.0 0.2 0.03125 0.5714285714285714 0.058823529411764705
Coherent 0.0 0.4375 0.25 0.26666666666666666 0.5 0.02857142857142857 0.11764705882352941
Left 0.0 0.3125 0.0 0.1 0.21875 0.02857142857142857 0.058823529411764705
