 Right_coh Right Coherent Null Left Left_Right
Right_coh 0.0 0.058823529411764705 0.05 0.0 0.0 0.0
Right 0.5 0.0 0.0 0.2903225806451613 0.0 0.5384615384615384
Coherent 0.5 0.0 0.0 0.5806451612903226 0.3333333333333333 0.0
Null 0.0 0.35294117647058826 0.95 0.0 0.0 0.38461538461538464
Left 0.0 0.0 0.0 0.06451612903225806 0.0 0.07692307692307693
Left_Right 0.0 0.5882352941176471 0.0 0.06451612903225806 0.6666666666666666 0.0
