 Right Left_coh Right_coh Left_Right Null Coherent Left Mille
Right 0.14285714285714285 0.0 0.3333333333333333 0.1111111111111111 0.09090909090909091 0.0 0.0 0.0
Left_coh 0.0 0.07142857142857142 0.0 0.3888888888888889 0.0 0.19230769230769232 0.07692307692307693 0.0
Right_coh 0.2857142857142857 0.0 0.16666666666666666 0.0 0.0 0.11538461538461539 0.0 0.0
Left_Right 0.5714285714285714 0.07142857142857142 0.16666666666666666 0.05555555555555555 0.045454545454545456 0.0 0.8461538461538461 0.0
Null 0.0 0.0 0.0 0.2222222222222222 0.045454545454545456 0.5769230769230769 0.0 0.5
Coherent 0.0 0.6428571428571429 0.3333333333333333 0.16666666666666666 0.5 0.038461538461538464 0.0 0.0
Left 0.0 0.21428571428571427 0.0 0.05555555555555555 0.2727272727272727 0.07692307692307693 0.07692307692307693 0.0
Mille 0.0 0.0 0.0 0.0 0.045454545454545456 0.0 0.0 0.5
