 Right Left_coh Right_coh Left_Right What Null Coherent Left Mille
Right 0.06666666666666667 0.0 0.5 0.16129032258064516 0.14285714285714285 0.058823529411764705 0.0 0.0 0.0
Left_coh 0.0 0.04 0.0 0.25806451612903225 0.0 0.0 0.4482758620689655 0.14285714285714285 0.0
Right_coh 0.2 0.0 0.0625 0.12903225806451613 0.0 0.0 0.27586206896551724 0.0 0.0
Left_Right 0.7333333333333333 0.04 0.0 0.03225806451612903 0.14285714285714285 0.058823529411764705 0.0 0.7619047619047619 0.0
What 0.0 0.0 0.0 0.03225806451612903 0.42857142857142855 0.0 0.0 0.0 0.75
Null 0.0 0.0 0.0625 0.22580645161290322 0.0 0.058823529411764705 0.20689655172413793 0.047619047619047616 0.0
Coherent 0.0 0.4 0.375 0.03225806451612903 0.0 0.6470588235294118 0.034482758620689655 0.0 0.0
Left 0.0 0.52 0.0 0.12903225806451613 0.14285714285714285 0.058823529411764705 0.034482758620689655 0.047619047619047616 0.0
Mille 0.0 0.0 0.0 0.0 0.14285714285714285 0.11764705882352941 0.0 0.0 0.25
