 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.04 0.0 0.15789473684210525 0.6363636363636364 0.17073170731707318 0.0 0.0
Left_coh 0.0 0.1111111111111111 0.0 0.0 0.0 0.14285714285714285 0.13333333333333333
Right_coh 0.32 0.0 0.05263157894736842 0.0 0.0 0.23809523809523808 0.0
Left_Right 0.4 0.0 0.0 0.045454545454545456 0.024390243902439025 0.0 0.6666666666666666
Null 0.24 0.0 0.05263157894736842 0.18181818181818182 0.04878048780487805 0.5952380952380952 0.13333333333333333
Coherent 0.0 0.6666666666666666 0.7368421052631579 0.0 0.5121951219512195 0.023809523809523808 0.0
Left 0.0 0.2222222222222222 0.0 0.13636363636363635 0.24390243902439024 0.0 0.06666666666666667
