 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.06666666666666667 0.0 0.14285714285714285 0.0625 0.24390243902439024 0.0 0.0
Left_coh 0.0 0.037037037037037035 0.07142857142857142 0.0 0.0 0.12195121951219512 0.46511627906976744
Right_coh 0.06666666666666667 0.1111111111111111 0.07142857142857142 0.03125 0.0 0.1951219512195122 0.0
Left_Right 0.7333333333333333 0.037037037037037035 0.21428571428571427 0.03125 0.0 0.0 0.3953488372093023
Null 0.13333333333333333 0.0 0.14285714285714285 0.09375 0.024390243902439025 0.6585365853658537 0.11627906976744186
Coherent 0.0 0.5925925925925926 0.35714285714285715 0.0 0.4634146341463415 0.024390243902439025 0.0
Left 0.0 0.2222222222222222 0.0 0.78125 0.2682926829268293 0.0 0.023255813953488372
