 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.05555555555555555 0.0 0.3333333333333333 0.5 0.28125 0.0 0.0
Left_coh 0.0 0.5 0.0 0.0 0.0 0.0 0.25
Right_coh 0.05555555555555555 0.0 0.3333333333333333 0.0 0.0 0.047619047619047616 0.0
Left_Right 0.5555555555555556 0.0 0.0 0.07142857142857142 0.0625 0.0 0.5
Null 0.3333333333333333 0.0 0.0 0.35714285714285715 0.03125 0.9047619047619048 0.0
Coherent 0.0 0.5 0.3333333333333333 0.0 0.5625 0.047619047619047616 0.0
Left 0.0 0.0 0.0 0.07142857142857142 0.0625 0.0 0.25
