 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.043478260869565216 0.0 0.0 0.6 0.14285714285714285 0.0 0.0
Left_coh 0.0 0.07692307692307693 0.0 0.0 0.0 0.3157894736842105 0.0
Right_coh 0.6086956521739131 0.0 0.04 0.13333333333333333 0.0 0.15789473684210525 0.0
Left_Right 0.17391304347826086 0.5384615384615384 0.24 0.03333333333333333 0.07142857142857142 0.0 0.7333333333333333
Null 0.17391304347826086 0.0 0.0 0.1 0.03571428571428571 0.4473684210526316 0.13333333333333333
Coherent 0.0 0.0 0.72 0.03333333333333333 0.6071428571428571 0.02631578947368421 0.06666666666666667
Left 0.0 0.38461538461538464 0.0 0.1 0.14285714285714285 0.05263157894736842 0.06666666666666667
