 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.047619047619047616 0.0 0.3157894736842105 0.24324324324324326 0.11904761904761904 0.0 0.0
Left_coh 0.0 0.05555555555555555 0.0 0.05405405405405406 0.0 0.23076923076923078 0.1875
Right_coh 0.19047619047619047 0.0 0.05263157894736842 0.10810810810810811 0.0 0.2564102564102564 0.0
Left_Right 0.47619047619047616 0.16666666666666666 0.2631578947368421 0.02702702702702703 0.0 0.02564102564102564 0.53125
Null 0.2857142857142857 0.0 0.0 0.21621621621621623 0.047619047619047616 0.4358974358974359 0.25
Coherent 0.0 0.3333333333333333 0.3684210526315789 0.0 0.6190476190476191 0.02564102564102564 0.0
Left 0.0 0.4444444444444444 0.0 0.35135135135135137 0.21428571428571427 0.02564102564102564 0.03125
