 Right Left_coh Left_Right Null Coherent Left
Right 0.07142857142857142 0.0 0.14285714285714285 0.13636363636363635 0.0 0.0
Left_coh 0.0 0.16666666666666666 0.0 0.0 0.05 0.06976744186046512
Left_Right 0.42857142857142855 0.0 0.03571428571428571 0.0 0.0 0.5116279069767442
Null 0.5 0.0 0.10714285714285714 0.015151515151515152 0.925 0.3953488372093023
Coherent 0.0 0.5 0.0 0.5454545454545454 0.025 0.0
Left 0.0 0.3333333333333333 0.7142857142857143 0.30303030303030304 0.0 0.023255813953488372
