 Left_Right Null Coherent Right_coh Left Right Left_coh
Left_Right 0.047619047619047616 0.024390243902439025 0.0 0.0 0.2857142857142857 0.8666666666666667 0.0
Null 0.14285714285714285 0.024390243902439025 0.9 0.0 0.38095238095238093 0.06666666666666667 0.0
Coherent 0.0 0.5365853658536586 0.03333333333333333 0.0 0.0 0.0 0.875
Right_coh 0.0 0.0 0.03333333333333333 0.5 0.0 0.0 0.0
Left 0.6666666666666666 0.14634146341463414 0.0 0.0 0.047619047619047616 0.0 0.0
Right 0.09523809523809523 0.2682926829268293 0.03333333333333333 0.5 0.0 0.06666666666666667 0.0
Left_coh 0.047619047619047616 0.0 0.0 0.0 0.2857142857142857 0.0 0.125
