 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.125 0.0 0.3333333333333333 0.15789473684210525 0.07894736842105263 0.0 0.0
Left_coh 0.0 0.16666666666666666 0.0 0.05263157894736842 0.0 0.08333333333333333 0.08695652173913043
Right_coh 0.125 0.0 0.3333333333333333 0.0 0.0 0.041666666666666664 0.0
Left_Right 0.25 0.16666666666666666 0.0 0.05263157894736842 0.0 0.0 0.6956521739130435
Null 0.5 0.0 0.0 0.3684210526315789 0.05263157894736842 0.8333333333333334 0.17391304347826086
Coherent 0.0 0.5 0.3333333333333333 0.0 0.5 0.041666666666666664 0.0
Left 0.0 0.16666666666666666 0.0 0.3684210526315789 0.3684210526315789 0.0 0.043478260869565216
