 Right Left_coh Right_coh Left_Right Null Coherent Left
Right 0.08333333333333333 0.0 0.2 0.1111111111111111 0.14814814814814814 0.0 0.0
Left_coh 0.0 0.06666666666666667 0.0 0.037037037037037035 0.0 0.2903225806451613 0.2222222222222222
Right_coh 0.25 0.0 0.05 0.3333333333333333 0.0 0.22580645161290322 0.0
Left_Right 0.6666666666666666 0.3333333333333333 0.15 0.037037037037037035 0.037037037037037035 0.0 0.5555555555555556
Null 0.0 0.0 0.15 0.18518518518518517 0.037037037037037035 0.45161290322580644 0.16666666666666666
Coherent 0.0 0.3333333333333333 0.45 0.0 0.5925925925925926 0.03225806451612903 0.0
Left 0.0 0.26666666666666666 0.0 0.2962962962962963 0.18518518518518517 0.0 0.05555555555555555
